DATE,COUNTRY,CITY,VALUE
01-01-2019,IN,Bengaluru,153
02-01-2019,IN,Bengaluru,132
03-01-2019,IN,Bengaluru,148
04-01-2019,IN,Bengaluru,125
05-01-2019,IN,Bengaluru,89
06-01-2019,IN,Bengaluru,76
07-01-2019,IN,Bengaluru,71
08-01-2019,IN,Bengaluru,55
09-01-2019,IN,Bengaluru,56
10-01-2019,IN,Bengaluru,85
10-01-2019,IN,Bengaluru,85
11-01-2019,IN,Bengaluru,73
12-01-2019,IN,Bengaluru,51
13-01-2019,IN,Bengaluru,143
14-01-2019,IN,Bengaluru,147
15-01-2019,IN,Bengaluru,126
16-01-2019,IN,Bengaluru,152
17-01-2019,IN,Bengaluru,156
18-01-2019,IN,Bengaluru,160
19-01-2019,IN,Bengaluru,146
20-01-2019,IN,Bengaluru,118
21-01-2019,IN,Bengaluru,139
22-01-2019,IN,Bengaluru,159
23-01-2019,IN,Bengaluru,151
24-01-2019,IN,Bengaluru,129
25-01-2019,IN,Bengaluru,97
26-01-2019,IN,Bengaluru,137
27-01-2019,IN,Bengaluru,109
28-01-2019,IN,Bengaluru,94
29-01-2019,IN,Bengaluru,83
30-01-2019,IN,Bengaluru,130
31-01-2019,IN,Bengaluru,134
01-02-2019,IN,Bengaluru,112
02-02-2019,IN,Bengaluru,125
03-02-2019,IN,Bengaluru,107
04-02-2019,IN,Bengaluru,124
05-02-2019,IN,Bengaluru,104
06-02-2019,IN,Bengaluru,86
07-02-2019,IN,Bengaluru,67
08-02-2019,IN,Bengaluru,58
09-02-2019,IN,Bengaluru,34
10-02-2019,IN,Bengaluru,55
10-02-2019,IN,Bengaluru,55
11-02-2019,IN,Bengaluru,74
12-02-2019,IN,Bengaluru,52
13-02-2019,IN,Bengaluru,125
14-02-2019,IN,Bengaluru,102
15-02-2019,IN,Bengaluru,95
16-02-2019,IN,Bengaluru,109
17-02-2019,IN,Bengaluru,129
18-02-2019,IN,Bengaluru,101
19-02-2019,IN,Bengaluru,119
20-02-2019,IN,Bengaluru,85
21-02-2019,IN,Bengaluru,97
22-02-2019,IN,Bengaluru,96
23-02-2019,IN,Bengaluru,130
24-02-2019,IN,Bengaluru,119
25-02-2019,IN,Bengaluru,90
26-02-2019,IN,Bengaluru,132
27-02-2019,IN,Bengaluru,117
28-02-2019,IN,Bengaluru,122
01-03-2019,IN,Bengaluru,129
02-03-2019,IN,Bengaluru,109
03-03-2019,IN,Bengaluru,90
04-03-2019,IN,Bengaluru,120
05-03-2019,IN,Bengaluru,102
06-03-2019,IN,Bengaluru,60
07-03-2019,IN,Bengaluru,61
08-03-2019,IN,Bengaluru,56
09-03-2019,IN,Bengaluru,36
10-03-2019,IN,Bengaluru,78
10-03-2019,IN,Bengaluru,78
11-03-2019,IN,Bengaluru,97
12-03-2019,IN,Bengaluru,82
13-03-2019,IN,Bengaluru,132
14-03-2019,IN,Bengaluru,110
15-03-2019,IN,Bengaluru,109
16-03-2019,IN,Bengaluru,117
17-03-2019,IN,Bengaluru,120
18-03-2019,IN,Bengaluru,112
19-03-2019,IN,Bengaluru,99
20-03-2019,IN,Bengaluru,102
21-03-2019,IN,Bengaluru,109
22-03-2019,IN,Bengaluru,104
23-03-2019,IN,Bengaluru,116
24-03-2019,IN,Bengaluru,108
25-03-2019,IN,Bengaluru,119
26-03-2019,IN,Bengaluru,122
27-03-2019,IN,Bengaluru,127
28-03-2019,IN,Bengaluru,137
29-03-2019,IN,Bengaluru,139
30-03-2019,IN,Bengaluru,129
31-03-2019,IN,Bengaluru,132
01-04-2019,IN,Bengaluru,123
02-04-2019,IN,Bengaluru,89
03-04-2019,IN,Bengaluru,119
04-04-2019,IN,Bengaluru,104
05-04-2019,IN,Bengaluru,124
06-04-2019,IN,Bengaluru,80
07-04-2019,IN,Bengaluru,55
08-04-2019,IN,Bengaluru,51
09-04-2019,IN,Bengaluru,45
10-04-2019,IN,Bengaluru,90
10-04-2019,IN,Bengaluru,90
11-04-2019,IN,Bengaluru,139
12-04-2019,IN,Bengaluru,100
13-04-2019,IN,Bengaluru,109
15-04-2019,IN,Bengaluru,111
16-04-2019,IN,Bengaluru,96
17-04-2019,IN,Bengaluru,107
18-04-2019,IN,Bengaluru,88
19-04-2019,IN,Bengaluru,82
20-04-2019,IN,Bengaluru,83
21-04-2019,IN,Bengaluru,70
22-04-2019,IN,Bengaluru,97
23-04-2019,IN,Bengaluru,86
24-04-2019,IN,Bengaluru,97
25-04-2019,IN,Bengaluru,125
26-04-2019,IN,Bengaluru,128
27-04-2019,IN,Bengaluru,141
28-04-2019,IN,Bengaluru,127
29-04-2019,IN,Bengaluru,129
30-04-2019,IN,Bengaluru,107
01-05-2019,IN,Bengaluru,122
02-05-2019,IN,Bengaluru,109
03-05-2019,IN,Bengaluru,119
04-05-2019,IN,Bengaluru,110
05-05-2019,IN,Bengaluru,115
06-05-2019,IN,Bengaluru,82
07-05-2019,IN,Bengaluru,62
08-05-2019,IN,Bengaluru,52
09-05-2019,IN,Bengaluru,47
10-05-2019,IN,Bengaluru,86
10-05-2019,IN,Bengaluru,86
11-05-2019,IN,Bengaluru,153
12-05-2019,IN,Bengaluru,145
13-05-2019,IN,Bengaluru,89
14-05-2019,IN,Bengaluru,89
15-05-2019,IN,Bengaluru,94
16-05-2019,IN,Bengaluru,101
17-05-2019,IN,Bengaluru,107
18-05-2019,IN,Bengaluru,129
19-05-2019,IN,Bengaluru,113
20-05-2019,IN,Bengaluru,117
21-05-2019,IN,Bengaluru,122
22-05-2019,IN,Bengaluru,110
23-05-2019,IN,Bengaluru,114
24-05-2019,IN,Bengaluru,99
25-05-2019,IN,Bengaluru,77
26-05-2019,IN,Bengaluru,64
27-05-2019,IN,Bengaluru,72
28-05-2019,IN,Bengaluru,101
29-05-2019,IN,Bengaluru,79
30-05-2019,IN,Bengaluru,90
31-05-2019,IN,Bengaluru,84
01-06-2019,IN,Bengaluru,150
02-06-2019,IN,Bengaluru,139
03-06-2019,IN,Bengaluru,123
04-06-2019,IN,Bengaluru,120
05-06-2019,IN,Bengaluru,120
06-06-2019,IN,Bengaluru,72
07-06-2019,IN,Bengaluru,53
08-06-2019,IN,Bengaluru,44
09-06-2019,IN,Bengaluru,47
10-06-2019,IN,Bengaluru,78
10-06-2019,IN,Bengaluru,78
11-06-2019,IN,Bengaluru,158
12-06-2019,IN,Bengaluru,152
13-06-2019,IN,Bengaluru,48
14-06-2019,IN,Bengaluru,62
15-06-2019,IN,Bengaluru,64
16-06-2019,IN,Bengaluru,67
17-06-2019,IN,Bengaluru,70
18-06-2019,IN,Bengaluru,74
19-06-2019,IN,Bengaluru,72
20-06-2019,IN,Bengaluru,62
21-06-2019,IN,Bengaluru,74
22-06-2019,IN,Bengaluru,45
23-06-2019,IN,Bengaluru,43
24-06-2019,IN,Bengaluru,58
25-06-2019,IN,Bengaluru,81
26-06-2019,IN,Bengaluru,72
27-06-2019,IN,Bengaluru,73
28-06-2019,IN,Bengaluru,75
29-06-2019,IN,Bengaluru,73
30-06-2019,IN,Bengaluru,65
01-07-2019,IN,Bengaluru,149
02-07-2019,IN,Bengaluru,139
03-07-2019,IN,Bengaluru,154
04-07-2019,IN,Bengaluru,113
05-07-2019,IN,Bengaluru,100
06-07-2019,IN,Bengaluru,74
07-07-2019,IN,Bengaluru,53
08-07-2019,IN,Bengaluru,46
09-07-2019,IN,Bengaluru,46
10-07-2019,IN,Bengaluru,85
11-07-2019,IN,Bengaluru,159
12-07-2019,IN,Bengaluru,96
13-07-2019,IN,Bengaluru,62
14-07-2019,IN,Bengaluru,58
15-07-2019,IN,Bengaluru,55
16-07-2019,IN,Bengaluru,69
17-07-2019,IN,Bengaluru,72
18-07-2019,IN,Bengaluru,78
19-07-2019,IN,Bengaluru,59
20-07-2019,IN,Bengaluru,48
21-07-2019,IN,Bengaluru,46
22-07-2019,IN,Bengaluru,53
23-07-2019,IN,Bengaluru,58
24-07-2019,IN,Bengaluru,61
25-07-2019,IN,Bengaluru,64
26-07-2019,IN,Bengaluru,61
27-07-2019,IN,Bengaluru,62
28-07-2019,IN,Bengaluru,61
29-07-2019,IN,Bengaluru,59
30-07-2019,IN,Bengaluru,61
31-07-2019,IN,Bengaluru,61
01-08-2019,IN,Bengaluru,152
02-08-2019,IN,Bengaluru,137
03-08-2019,IN,Bengaluru,142
04-08-2019,IN,Bengaluru,102
05-08-2019,IN,Bengaluru,85
